graph sage 2020(4) 2021(1)
source_model,dest_model,similarity
KGAT-Jan-19-2023_14-37-30,KGAT-Jan-20-2023_00-31-04,0.5328389830508474
KGAT-Jan-19-2023_14-37-30,KGAT-Jan-25-2023_23-24-05,0.5379237288135593
KGAT-Jan-19-2023_14-37-30,KGAT-Jan-26-2023_07-29-44,0.5358050847457627
KGAT-Jan-20-2023_00-31-04,KGAT-Jan-25-2023_23-24-05,0.9046610169491528
KGAT-Jan-20-2023_00-31-04,KGAT-Jan-26-2023_07-29-44,0.8578389830508475
KGAT-Jan-25-2023_23-24-05,KGAT-Jan-26-2023_07-29-44,0.8493644067796612

KGAT-Jan-19-2023_14-37-30,KGAT-Jan-25-2023_23-05-36,0.683686440677966
KGAT-Jan-20-2023_00-31-04,KGAT-Jan-25-2023_23-05-36,0.44936440677966105
KGAT-Jan-25-2023_23-24-05,KGAT-Jan-25-2023_23-05-36,0.45360169491525426
KGAT-Jan-26-2023_07-29-44,KGAT-Jan-25-2023_23-05-36,0.45423728813559316
