graph sage 2020(5)
source_model,dest_model,similarity
KGAT-Jan-19-2023_14-37-30,KGAT-Jan-20-2023_00-31-04,0.5328389830508474
KGAT-Jan-19-2023_14-37-30,KGAT-Jan-25-2023_23-24-05,0.5379237288135593
KGAT-Jan-19-2023_14-37-30,KGAT-Jan-26-2023_07-29-44,0.5358050847457627
KGAT-Jan-19-2023_14-37-30,KGAT-Jan-26-2023_12-55-37,0.5353813559322034
KGAT-Jan-20-2023_00-31-04,KGAT-Jan-25-2023_23-24-05,0.9046610169491528
KGAT-Jan-20-2023_00-31-04,KGAT-Jan-26-2023_07-29-44,0.8578389830508475
KGAT-Jan-20-2023_00-31-04,KGAT-Jan-26-2023_12-55-37,0.8966101694915256
KGAT-Jan-25-2023_23-24-05,KGAT-Jan-26-2023_07-29-44,0.8493644067796612
KGAT-Jan-25-2023_23-24-05,KGAT-Jan-26-2023_12-55-37,0.8822033898305087
KGAT-Jan-26-2023_07-29-44,KGAT-Jan-26-2023_12-55-37,0.8739406779661019
